store_id,uptime_last_hour,downtime_last_hour,uptime_last_day,downtime_last_day,uptime_last_week,downtime_last_week
5e928290-8d31-4d2d-8e3f-81984111e78a,0.0,60.0,0.0,10.333333,0.0,71.883278
d68adc47-5fad-483f-8b03-2a4458532602,60.0,0.0,7.812418,0.187582,65.42127,2.461192
2765186a-c911-4fe8-bf02-0023469ccc64,0.0,60.0,0.0,10.75,0.0,79.882172
610e6da3-8f35-4c0a-b40f-b428efc621ae,0.0,60.0,0.0,8.25,0.0,69.63125
07a320ae-e5ee-4a3c-b78e-8e4529026189,0.0,60.0,0.0,8.5,0.0,68.380081
a7c0a508-6081-4470-ba1b-0ee011be58c6,60.0,0.0,18.958634,0.041088,131.58519,1.292156
5110dd88-077b-4af6-8690-8ad8fdba1641,0.0,60.0,0.0,10.75,0.0,79.877209
2a07b2ca-79ba-4efe-b5b3-13f0942857c2,0.0,60.0,0.0,23.999722,0.0,144.875255
b4439c93-5b15-43d0-8854-0b4067e26f67,0.0,60.0,0.0,12.983333,0.0,90.759492
7090f542-6336-4856-8211-8427a250f668,0.0,60.0,0.0,23.999722,0.0,144.874114
20a11303-5443-4c0d-b72c-7674c15d230c,0.0,60.0,0.0,12.983333,0.0,90.758487
5c75c2b9-a165-4d3c-a58d-b06c6aad5664,0.0,60.0,0.0,23.999722,0.0,167.87266
2b914d4b-2638-4ba5-8e5d-a09ab82c0ddc,60.0,0.0,12.794381,0.188953,90.279226,0.477932
a337d6b6-5fe0-443e-936c-60f4ddf4c2a3,0.0,60.0,0.0,11.25,0.0,80.123394
d4830ec9-a068-4663-bcbe-a4e27fd23138,0.0,60.0,0.0,14.999722,0.0,114.870541
9f7cdf49-0172-44d6-94ce-d8cb7fe74320,0.0,60.0,0.0,9.999722,0.0,72.869722
779f2dc6-45ea-4a77-9bf0-88015ba35777,0.0,60.0,0.0,10.416667,0.0,75.287956
3fb3d3cf-3fe7-4c7b-8474-26af5e25d756,0.0,60.0,0.0,10.75,0.0,79.870465
161e986b-86a8-44b8-9b92-3b470de9255a,0.0,60.0,0.0,23.983333,0.0,167.752366
082390d5-018f-4c46-900a-002334f86d75,0.0,60.0,0.0,9.75,0.0,78.11824
7128047b-94d8-4226-8d8b-5259b5fb5383,0.0,60.0,0.0,18.999722,0.0,132.866395
dca37ba4-0b60-40e2-9b3d-b5bd0165575b,60.0,0.0,12.904344,0.095378,102.445461,0.419636
3233ab20-4991-4699-b6d5-c332e58f824f,60.0,0.0,23.999722,0.0,166.84842,1.016542
4bd0fc1f-6d5e-4f5f-baa5-6fedc00c3def,0.0,60.0,0.0,23.999722,0.0,167.863865
e71c1861-0179-4a95-9795-4e87c8fcde65,60.0,0.0,11.441937,0.558063,90.960363,3.403746
9f669af0-c870-4397-848f-3cf56986c2a3,0.0,60.0,0.0,14.749722,0.0,103.362955
1103179b-05dc-47e0-a64c-b3879aa096d7,0.0,60.0,0.0,17.999722,0.0,125.861816
d44bc78d-c3e9-4422-b539-f07d3dc19df4,0.0,60.0,0.0,12.0,0.0,94.361877
899a56e2-5111-4ad0-9da1-0c96058c026a,0.0,60.0,0.0,12.983333,0.0,90.745613
06fec79a-9873-488a-9c6b-494c8294924b,0.0,60.0,0.0,11.5,0.0,80.36144
2b106e20-c9c3-4a9b-b6a4-0b38a467e0a7,60.0,0.0,12.887454,0.112269,102.381315,0.477206
5a67dd42-77cd-40e0-833e-a4c749d2781c,60.0,0.0,23.983333,0.0,167.743748,0.0
15ea80e7-1ba3-4941-bc20-3878c92fa8b4,0.0,60.0,0.0,12.983333,0.0,93.840556
0509ef68-88a9-4cce-8616-6e5020fa6082,60.0,0.0,11.935314,0.064686,85.345365,0.479651
23d550f6-31df-4676-8c9d-74ca225bbd37,60.0,0.0,7.868755,0.631245,67.344019,1.014071
df780386-eba1-45c4-9a33-a6fc44b43c90,0.0,60.0,0.0,10.75,0.0,79.857157
19d6f935-5013-4756-aa27-cb5028b7d9be,0.0,60.0,0.0,11.5,0.0,75.839524
c28f2d5a-8e02-4b37-ab99-bba402d96b12,0.0,60.0,0.0,9.75,0.0,78.105574
79a0f07e-a01e-4882-a4b3-56d99746d1ad,0.0,60.0,0.0,23.999722,0.0,144.853236
08fbdf80-23c7-45ef-af61-4d96eef55939,0.0,60.0,0.0,18.999722,0.0,132.852072
10442a84-8d19-49d1-b3a9-cf83c783b65b,60.0,0.0,9.931006,5.068717,72.416022,32.435816
0b68a1f6-fe34-4812-b810-37057bb526a5,60.0,0.0,18.932419,0.067304,132.372807,0.478033
e021824c-6ab6-4027-b8af-6a0cf6a08f77,60.0,0.0,10.265129,0.068204,71.368683,0.483001
2eb86c26-5f80-417d-b63d-d34a98af6fbf,0.0,60.0,0.0,12.983333,0.0,90.734463
6c084ef6-dd1f-49d8-a3b8-46b2f92a7d6a,60.0,0.0,9.846451,1.653549,75.984569,6.349231
cb772e81-8af8-427f-9cc2-18fcf38b0799,60.0,0.0,9.679288,0.070712,77.538991,0.560113
189c70c8-f3ec-49df-8239-5985ace4c8cf,0.0,60.0,0.0,10.416667,0.0,75.266298
